repo,pr_number,url,Time to Merge (days),Number of Unique Reviewers,Total Discussion Comments,Commits After First Review,Time Between First and Last Comments (days),Requested Changes,log1p Time to Merge (days),log1p Number of Unique Reviewers,log1p Total Discussion Comments,log1p Commits After First Review,log1p Time Between First and Last Comments (days),log1p Requested Changes
amrex,4453,https://github.com/AMReX-Codes/amrex/pull/4453,0.03,1,0,0,,0,0.0295588022415444,0.6931471805599453,0.0,0.0,,0.0
amrex,4456,https://github.com/AMReX-Codes/amrex/pull/4456,0.03,1,3,0,0.0,0,0.0295588022415444,0.6931471805599453,1.3862943611198906,0.0,0.0,0.0
amrex,4457,https://github.com/AMReX-Codes/amrex/pull/4457,0.08,1,2,0,0.01,0,0.07696104113612832,0.6931471805599453,1.0986122886681096,0.0,0.009950330853168083,0.0
amrex,4459,https://github.com/AMReX-Codes/amrex/pull/4459,0.04,2,0,0,,0,0.039220713153281295,1.0986122886681096,0.0,0.0,,0.0
amrex,4460,https://github.com/AMReX-Codes/amrex/pull/4460,0.05,1,0,0,,0,0.04879016416943201,0.6931471805599453,0.0,0.0,,0.0
amrex,4462,https://github.com/AMReX-Codes/amrex/pull/4462,21.7,1,2,16,20.74,0,3.122364924487357,0.6931471805599453,1.0986122886681096,2.833213344056216,3.0791538816930633,0.0
amrex,4463,https://github.com/AMReX-Codes/amrex/pull/4463,0.81,2,6,0,0.03,0,0.5933268452777344,1.0986122886681096,1.9459101490553132,0.0,0.0295588022415444,0.0
amrex,4465,https://github.com/AMReX-Codes/amrex/pull/4465,0.03,1,0,0,,0,0.0295588022415444,0.6931471805599453,0.0,0.0,,0.0
amrex,4468,https://github.com/AMReX-Codes/amrex/pull/4468,0.99,1,2,3,,1,0.688134638736401,0.6931471805599453,1.0986122886681096,1.3862943611198906,,0.6931471805599453
amrex,4470,https://github.com/AMReX-Codes/amrex/pull/4470,0.05,1,0,0,,0,0.04879016416943201,0.6931471805599453,0.0,0.0,,0.0
amrex,4471,https://github.com/AMReX-Codes/amrex/pull/4471,0.05,1,0,0,,0,0.04879016416943201,0.6931471805599453,0.0,0.0,,0.0
amrex,4474,https://github.com/AMReX-Codes/amrex/pull/4474,0.03,1,1,0,,0,0.0295588022415444,0.6931471805599453,0.6931471805599453,0.0,,0.0
amrex,4475,https://github.com/AMReX-Codes/amrex/pull/4475,0.03,1,0,0,,0,0.0295588022415444,0.6931471805599453,0.0,0.0,,0.0
amrex,4476,https://github.com/AMReX-Codes/amrex/pull/4476,0.83,1,0,0,,0,0.6043159668533296,0.6931471805599453,0.0,0.0,,0.0
amrex,4479,https://github.com/AMReX-Codes/amrex/pull/4479,20.72,2,11,0,2.53,0,3.0782334950657346,1.0986122886681096,2.4849066497880004,0.0,1.2612978709452054,0.0
