repo,pr_number,url,Time to Merge (days),Number of Unique Reviewers,Total Discussion Comments,Commits After First Review,Time Between First and Last Comments (days),Requested Changes,log1p Time to Merge (days),log1p Number of Unique Reviewers,log1p Total Discussion Comments,log1p Commits After First Review,log1p Time Between First and Last Comments (days),log1p Requested Changes
amrex,3400,https://github.com/AMReX-Codes/amrex/pull/3400,49.18,2,5,2,49.01,0,3.9156165409382764,1.0986122886681096,1.791759469228055,1.0986122886681096,3.9122229854308124,0.0
amrex,3406,https://github.com/AMReX-Codes/amrex/pull/3406,0.06,2,2,1,0.0,0,0.058268908123975775,1.0986122886681096,1.0986122886681096,0.6931471805599453,0.0,0.0
amrex,3414,https://github.com/AMReX-Codes/amrex/pull/3414,2.18,1,8,1,0.93,1,1.1568811967920856,0.6931471805599453,2.1972245773362196,0.6931471805599453,0.6575200029167942,0.6931471805599453
amrex,3436,https://github.com/AMReX-Codes/amrex/pull/3436,59.92,2,7,5,56.94,0,4.109561528026961,1.0986122886681096,2.0794415416798357,1.791759469228055,4.059407992341204,0.0
amrex,3440,https://github.com/AMReX-Codes/amrex/pull/3440,58.86,2,10,1,58.79,0,4.0920085024245525,1.0986122886681096,2.3978952727983707,0.6931471805599453,4.090838422892813,0.0
amrex,3450,https://github.com/AMReX-Codes/amrex/pull/3450,0.2,1,2,1,0.03,0,0.18232155679395462,0.6931471805599453,1.0986122886681096,0.6931471805599453,0.0295588022415444,0.0
amrex,3466,https://github.com/AMReX-Codes/amrex/pull/3466,4.13,2,8,1,0.1,0,1.635105659182678,1.0986122886681096,2.1972245773362196,0.6931471805599453,0.09531017980432487,0.0
amrex,3484,https://github.com/AMReX-Codes/amrex/pull/3484,0.44,1,2,2,0.0,0,0.36464311358790924,0.6931471805599453,1.0986122886681096,1.0986122886681096,0.0,0.0
amrex,3510,https://github.com/AMReX-Codes/amrex/pull/3510,2.15,3,15,4,1.53,0,1.1474024528375417,1.3862943611198906,2.772588722239781,1.6094379124341003,0.9282193027394289,0.0
amrex,3549,https://github.com/AMReX-Codes/amrex/pull/3549,0.14,1,0,1,,0,0.1310282624064041,0.6931471805599453,0.0,0.6931471805599453,,0.0
amrex,3555,https://github.com/AMReX-Codes/amrex/pull/3555,13.01,1,12,9,97.95,1,2.6397713603489157,0.6931471805599453,2.5649493574615367,2.302585092994046,4.594614672048575,0.6931471805599453
amrex,3559,https://github.com/AMReX-Codes/amrex/pull/3559,9.79,1,7,3,7.75,0,2.378619779270043,0.6931471805599453,2.0794415416798357,1.3862943611198906,2.169053700369523,0.0
amrex,3563,https://github.com/AMReX-Codes/amrex/pull/3563,1.96,1,1,1,,0,1.085189268335969,0.6931471805599453,0.6931471805599453,0.6931471805599453,,0.0
amrex,3585,https://github.com/AMReX-Codes/amrex/pull/3585,66.07,2,9,8,17.08,0,4.205736850111646,1.0986122886681096,2.302585092994046,2.1972245773362196,2.89480635496403,0.0
amrex,3591,https://github.com/AMReX-Codes/amrex/pull/3591,28.16,2,55,20,150.97,0,3.3727979071404572,1.0986122886681096,4.02535169073515,3.044522437723423,5.023683132945513,0.0
